sample_name	SRR_id
Control_1	SRR7828379
Control_2	SRR7828380
Control_3	SRR7828381
Control_4	SRR7828382
Control_5	SRR7828383
DBA_1	SRR7828384
DBA_2	SRR7828385
DBA_3	SRR7828386
DBA_4	SRR7828387
DBA_5	SRR7828388
DBA_6	SRR7828389
DBA_7	SRR7828390
DBA_8	SRR7828391
DBA_9	SRR7828392
